Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2020,,Cellnex Telecom,Telecommunications Services,Spain,1136.0,-10.3,14594.0,20163.0,1621.0
2021,,Cellnex Telecom,Telecommunications Services,Spain,1829.0,-151.7,29450.0,28529.0,1327
2022,1144,Cellnex Telecom,Telecommunications Services,Spain,2994.0,-415.3,47532.0,32984.0,
