Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,124.0,Vinci,Construction,France,44520.0,2230,75230.0,28110.0,
2011,150.0,Vinci,Construction,France,45520.0,2378.0,75487.0,32888.0,
2012,,Vinci,Construction,France,48764.0,2466.7,78403.0,30457.0,161.0
2013,,Vinci,Construction,France,51693.0,2529.0,80934.0,25353.0,162.0
